config_id,activation,layers,hidden,lr,batch,parameters,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,test_mse,test_mae,test_rmse,best_seed
102,relu,7,4,0.01,128,151,0.42267540025711064,0.08244520372571057,0.30608380476633706,0.48175689625740054,29.85731315612793,3.606788158416748,5.464184761047363,1
103,relu,7,4,0.001,64,151,0.3831922323173947,0.13830126849413346,0.1876068150997162,0.4817721699078878,8.884950637817383,1.713864803314209,2.9807634353637695,1
104,relu,7,4,0.001,128,151,0.42234247051344975,0.08294863285839528,0.30503891928990684,0.48178240370750425,29.799076080322266,3.599017858505249,5.458852767944336,1
105,relu,7,5,0.01,64,218,0.3616133423381382,0.08384986970875785,0.3007818877696991,0.4801815033753713,29.797260284423828,3.5741705894470215,5.458686828613281,1
106,relu,7,5,0.01,128,218,0.4217667674753401,0.08131483369868961,0.3067750452359517,0.48017429272333784,30.401166915893555,3.626685380935669,5.513725280761719,2
107,relu,7,5,0.001,64,218,0.26724097523424356,0.08647994631526877,0.1471804034312566,0.34745209352175394,21.233304977416992,2.2189252376556396,4.607961177825928,1
108,relu,7,5,0.001,128,218,0.2652074582841661,0.08608738587130517,0.14618017840385436,0.3468781962394714,21.60731315612793,2.224116802215576,4.648366928100586,2
109,relu,7,6,0.01,64,297,0.32391473123100073,0.13685599672821291,0.1468895295262337,0.4801835438410441,21.663082122802734,2.2328429222106934,4.654361724853516,2
110,relu,7,6,0.01,128,297,0.31807626536157396,0.12804640361142788,0.16713167595863343,0.4801835438410441,8.599961280822754,1.4790986776351929,2.9325690269470215,1
111,relu,7,6,0.001,64,297,0.2782995153665543,0.09556005026685739,0.14315930227438609,0.34652300890286764,21.651836395263672,2.200688123703003,4.653153419494629,2
112,relu,7,6,0.001,128,297,0.2940444014072418,0.0745549388351337,0.1886199189821879,0.34814128557840984,5.715700149536133,1.2748863697052002,2.3907530307769775,2
113,relu,7,7,0.01,64,388,0.31073142332500886,0.13576871521563397,0.14782585469881693,0.48019584226608275,21.19849395751953,2.2148470878601074,4.604182243347168,1
114,relu,7,7,0.01,128,388,0.19918842653433486,0.07247558832962887,0.1470869781970978,0.3016796220938365,21.326248168945312,2.215331554412842,4.618035316467285,1
115,relu,7,7,0.001,64,388,0.15111441366540063,0.011777897594309156,0.14056574507554373,0.16755219280719758,20.334619522094727,2.121999502182007,4.509392261505127,0
116,relu,7,7,0.001,128,388,0.1534791784418954,0.00959545311035315,0.14497382962703706,0.166889000972112,21.598464965820312,2.216857671737671,4.647414684295654,2
117,relu,7,8,0.01,64,491,0.2274104707373513,0.19195876655838875,0.015272253513336182,0.4801775162220001,0.0416589230298996,0.15008316934108734,0.2041051834821701,1
118,relu,7,8,0.01,128,491,0.1697564531415701,0.2195149456579247,0.011402996535102527,0.4801762443383535,0.02345975488424301,0.11336744576692581,0.1531657725572586,2
119,relu,7,8,0.001,64,491,0.1439109245472484,0.0005169489004587808,0.14326741830507914,0.14453314236799875,21.22342300415039,2.1862893104553223,4.606888771057129,1
120,relu,7,8,0.001,128,491,0.161202648397949,0.12597385309724363,0.015463431427876154,0.3228088219165802,0.04537999629974365,0.15004006028175354,0.21302580833435059,1
121,relu,8,3,0.01,64,108,0.4800918878184424,0.0013918568606470182,0.4783455983797709,0.4817516411940257,35.749141693115234,4.767916202545166,5.979058742523193,1
122,relu,8,3,0.01,128,108,0.4800916123125289,0.0013939688046794639,0.478343740940094,0.4817551256020864,35.75655746459961,4.768131732940674,5.979678630828857,1
123,relu,8,3,0.001,64,108,0.4801123600800832,0.0013739603919167118,0.4783910911083221,0.48175374778111774,35.750728607177734,4.7685418128967285,5.979191303253174,1
124,relu,8,3,0.001,128,108,0.4801252069208357,0.0013807269619567223,0.4783926711877187,0.4817714429696401,35.74758529663086,4.768237590789795,5.978928565979004,1
125,relu,8,4,0.01,64,171,0.48009584098392066,0.0013964807813376938,0.47834346691767377,0.48176077810923257,35.75334548950195,4.768059253692627,5.979410171508789,1
126,relu,8,4,0.01,128,171,0.4800937027931213,0.0013917416285061791,0.4783459583123525,0.4817514494260152,35.76737594604492,4.769070625305176,5.980583190917969,1
127,relu,8,4,0.001,64,171,0.4801077340973749,0.0013766739149984055,0.47838852524757386,0.48175859530766807,35.76911163330078,4.769229412078857,5.9807281494140625,1
128,relu,8,4,0.001,128,171,0.48012269936667556,0.0013784215174137424,0.4784020955562592,0.48177654441197715,35.761688232421875,4.768842697143555,5.98010778427124,1
129,relu,8,5,0.01,64,248,0.4801001255777147,0.001394919156426426,0.4783514496485392,0.48176522175470987,35.75190353393555,4.767643928527832,5.979289531707764,1
130,relu,8,5,0.01,128,248,0.4800901295079125,0.0013903616596153746,0.47834727517763775,0.4817499109109243,35.753639221191406,4.768109321594238,5.979434490203857,1
131,relu,8,5,0.001,64,248,0.42072828698158266,0.0839104182656702,0.3020772929191589,0.48175485610961916,29.42682647705078,3.5983059406280518,5.424649715423584,0
132,relu,8,5,0.001,128,248,0.3633756826983558,0.08372838374173337,0.30246700914700825,0.481768995364507,29.41390609741211,3.599632978439331,5.423459053039551,0
133,relu,8,6,0.01,64,339,0.36838998281955715,0.1567968391045133,0.14664829274018606,0.48017750136057535,21.581918716430664,2.230813980102539,4.645634174346924,2
134,relu,8,6,0.01,128,339,0.3684827297793494,0.15666379613176332,0.14692918022473653,0.4801738553841909,21.551944732666016,2.227555513381958,4.642407417297363,2
135,relu,8,6,0.001,64,339,0.367434199002054,0.1581892498665267,0.14372317572434742,0.48017949040730795,21.67537498474121,2.208977460861206,4.65568208694458,2
136,relu,8,6,0.001,128,339,0.3682894056505628,0.15699258412667821,0.14627076756954194,0.48019341158866885,21.625045776367188,2.2272207736968994,4.65027379989624,2
137,relu,8,7,0.01,64,444,0.48009570140308805,0.0013909888332303035,0.47835096446673075,0.48175495910644534,35.74282455444336,4.767368316650391,5.978530406951904,1
138,relu,8,7,0.01,128,444,0.4800949806637234,0.0013910283118355388,0.4783448023001353,0.4817479492823283,35.75200653076172,4.767930507659912,5.979298114776611,1
139,relu,8,7,0.001,64,444,0.36939314268694984,0.1565287631480919,0.14803670664628346,0.4817674463589986,20.358444213867188,2.17824387550354,4.512033462524414,0
140,relu,8,7,0.001,128,444,0.3241121076875263,0.1378997320238841,0.14587629028161367,0.48177561569213867,20.352094650268555,2.159071445465088,4.511329650878906,0
141,relu,8,8,0.01,64,563,0.3692991551558176,0.15663200424793575,0.14779678297042848,0.4817537112236023,20.354446411132812,2.174431800842285,4.511590003967285,0
142,relu,8,8,0.01,128,563,0.31685665256447265,0.1370629198816533,0.14617187702655793,0.4817565450668335,21.262582778930664,2.2051801681518555,4.6111369132995605,1
143,relu,8,8,0.001,64,563,0.15299643361568452,0.009123741955031713,0.1457075390815735,0.16586140219370524,20.34538459777832,2.1576733589172363,4.510585784912109,0
144,relu,8,8,0.001,128,563,0.15135918252997926,0.010782575605769023,0.1421556911468506,0.1664903021256129,20.351430892944336,2.133876323699951,4.511256217956543,0
145,tanh,3,3,0.01,64,48,0.019567649058997633,0.00023287401950289807,0.019238316863775255,0.01973314722130696,0.06943666934967041,0.18042249977588654,0.2635083794593811,2
146,tanh,3,3,0.01,128,48,0.019345749475889736,0.0003198678879357642,0.018901074662804603,0.019639999548594158,0.06777399033308029,0.17618301510810852,0.2603343725204468,2
147,tanh,3,3,0.001,64,48,0.01949769683927298,0.0009592576948660636,0.01837118565787872,0.020715545743703843,0.06990329176187515,0.1758093237876892,0.26439231634140015,2
148,tanh,3,3,0.001,128,48,0.019609759986400604,0.001115955621289037,0.01838575865825017,0.021084547405441603,0.0697801485657692,0.17533764243125916,0.26415932178497314,2
149,tanh,3,4,0.01,64,71,0.014993215633763208,0.001703117833867447,0.012600405243535836,0.01642786306142807,0.02804902195930481,0.11697699874639511,0.16747842729091644,0
150,tanh,3,4,0.01,128,71,0.016032132494780752,0.0003900278344184576,0.015686491986115773,0.01657721884548664,0.05313054844737053,0.14374487102031708,0.23050065338611603,2
